"","gene"
"1","Tnpo2"
"2","Haus7"
"3","Itch"
"4","Rad51c"
"5","Spred1"
"6","Itgb1"
"7","Prpf40a"
"8","Stac3"
"9","Cuzd1"
"10","Proc"
"11","D7Ertd443e"
"12","Jak2"
"13","Ctso"
"14","Trim72"
"15","Kif2c"
"16","Timp2"
"17","Gzmn"
"18","Dna2"
"19","Pawr"
"20","Xrcc2"
"21","Ajuba"
"22","Jun"
"23","Junb"
"24","Jund"
"25","Lig4"
"26","Gmnn"
"27","Fbxo3"
"28","Kcna5"
"29","Haus8"
"30","Usp44"
"31","Calm1"
"32","Napsa"
"33","Mdfic"
"34","Usp37"
"35","Kif11"
"36","Kif13a"
"37","Psmb11"
"38","Calr"
"39","Prss27"
"40","Kif3b"
"41","Kif4"
"42","Ift57"
"43","Tmprss15"
"44","Hdac9"
"45","Pid1"
"46","Kifap3"
"47","Uhmk1"
"48","Afg3l1"
"49","Adamtsl4"
"50","Sin3a"
"51","Klk1"
"52","Klk1b11"
"53","Klk1b16"
"54","Klk1b21"
"55","Klk1b24"
"56","Klk1b26"
"57","Klk1b27"
"58","Klkb1"
"59","Klk1b5"
"60","Klk1b1"
"61","Klk1b8"
"62","Mael"
"63","Smo"
"64","Herc3"
"65","Hecw1"
"66","Pik3c3"
"67","Khdc1b"
"68","Btbd11"
"69","Fam76a"
"70","Taf1"
"71","Psen1"
"72","Tcf19"
"73","Haus2"
"74","Atad5"
"75","Ddias"
"76","Thra"
"77","Rc3h2"
"78","Mbtps2"
"79","Asz1"
"80","Brip1"
"81","Rhbdl3"
"82","Syce1"
"83","Capn8"
"84","Pes1"
"85","Acta1"
"86","Hexim2"
"87","H3f3b"
"88","Cep55"
"89","Stmn1"
"90","Usp16"
"91","Tmprss11b"
"92","Actr3"
"93","Sppl2c"
"94","Prdm9"
"95","Syvn1"
"96","Cdc14a"
"97","Hmgb1"
"98","Piwil2"
"99","Jmy"
"100","Piwil1"
"101","Wdr12"
"102","Rnf25"
"103","Psmc3ip"
"104","Lonp1"
"105","Opa1"
"106","Arhgef2"
"107","Klhdc8a"
"108","Unkl"
"109","Zak"
"110","Ttyh1"
"111","Lck"
"112","Fbxl22"
"113","Bin3"
"114","Rangrf"
"115","Gan"
"116","Casp4"
"117","Taf2"
"118","Lef1"
"119","Katnb1"
"120","Ccin"
"121","Lep"
"122","Banp"
"123","Lfng"
"124","Cenpe"
"125","Cep97"
"126","Ranbp17"
"127","Xpo6"
"128","Gdpd5"
"129","Sept14"
"130","Lig1"
"131","Lig3"
"132","Ran"
"133","Adamts13"
"134","Mul1"
"135","Tnfaip3"
"136","Tubgcp2"
"137","Ppil2"
"138","Gzmm"
"139","Lmnb1"
"140","Cdc123"
"141","Psmb9"
"142","Psmb8"
"143","Klhl8"
"144","Ccdc79"
"145","Rnf138rt1"
"146","Khdc3"
"147","Lnx1"
"148","Usp20"
"149","Psmg2"
"150","Rnf222"
"151","Rmnd5b"
"152","Rnf182"
"153","Kcmf1"
"154","Pga5"
"155","Zfp318"
"156","Anxa1"
"157","Pidd1"
"158","Prr11"
"159","Prss46"
"160","Rnf145"
"161","Lrp5"
"162","Lrp6"
"163","Tipin"
"164","Ska2"
"165","Nek3"
"166","Xrcc3"
"167","Ltf"
"168","Snai2"
"169","Anapc11"
"170","Pop4"
"171","Smchd1"
"172","Bccip"
"173","Cep57"
"174","Med11"
"175","Mei1"
"176","Rptor"
"177","Prcc"
"178","Rbm7"
"179","Cks2"
"180","Specc1l"
"181","Map10"
"182","Zmat4"
"183","4933406J08Rik"
"184","Med7"
"185","Rgcc"
"186","Myb"
"187","Zmiz1"
"188","Mybl2"
"189","Kcnh5"
"190","Nol6"
"191","Eif4g3"
"192","Ddx11"
"193","Senp5"
"194","Npr2"
"195","Mad1l1"
"196","Cep72"
"197","Smad3"
"198","4933427D14Rik"
"199","Shb"
"200","Vash1"
"201","Mamstr"
"202","Kbtbd13"
"203","Ccndbp1"
"204","Prepl"
"205","Mplkip"
"206","Fancl"
"207","Cenpw"
"208","Smurf2"
"209","Mapkapk2"
"210","Mapkapk5"
"211","Ascl1"
"212","Masp1"
"213","Masp2"
"214","Psmd10"
"215","Fam175b"
"216","Cep152"
"217","Snai1"
"218","Eid3"
"219","Atf5"
"220","Mbd4"
"221","Pmf1"
"222","Snw1"
"223","Mau2"
"224","Rnf152"
"225","Mcm3"
"226","Mcm2"
"227","Mcm4"
"228","Mcm5"
"229","Chmp4c"
"230","Mcm7"
"231","Cd46"
"232","Anapc1"
"233","Mcpt1"
"234","Plk2"
"235","Rad18"
"236","Mcpt4"
"237","Cma1"
"238","Tpsb2"
"239","Mcpt8"
"240","Mcpt9"
"241","Mgrn1"
"242","Sppl3"
"243","Nosip"
"244","Kbtbd12"
"245","Mdm2"
"246","Mdm4"
"247","Rtfdc1"
"248","Sac3d1"
"249","Prss33"
"250","Pard6b"
"251","Mmp19"
"252","Rnf8"
"253","Ep300"
"254","Melk"
"255","Hectd3"
"256","Men1"
"257","Tubgcp6"
"258","Mep1a"
"259","Cdc26"
"260","Ndc80"
"261","Cenpt"
"262","Met"
"263","Wash1"
"264","Txlng"
"265","Wdr43"
"266","Foxc1"
"267","Spsb1"
"268","Adam32"
"269","Mif"
"270","Ctrb1"
"271","Chaf1b"
"272","Cxcl9"
"273","Cse1l"
"274","Ccne1"
"275","Bhlha15"
"276","Med6"
"277","Tdrd9"
"278","Mlf1"
"279","Mlh1"
"280","Rnf181"
"281","AY074887"
"282","Fbxo2"
"283","Cul7"
"284","Btn2a2"
"285","Romo1"
"286","Mme"
"287","Mmp12"
"288","Mmp10"
"289","Mmp11"
"290","Mmp13"
"291","Mmp14"
"292","Mmp15"
"293","Immp1l"
"294","Mmp2"
"295","Mmp24"
"296","Mmp3"
"297","Mmp7"
"298","Mmp8"
"299","Mmp9"
"300","Herc6"
"301","Sppl2a"
"302","Ddit4"
"303","Myo6"
"304","Ece2"
"305","Tada3"
"306","Mnat1"
"307","Mis18a"
"308","Mns1"
"309","Mnt"
"310","Xpo5"
"311","Sepn1"
"312","Trim5"
"313","Ube2v1"
"314","Zfp703"
"315","Mad2l1bp"
"316","Diablo"
"317","Ccno"
"318","Mos"
"319","Sycp2"
"320","Cul4a"
"321","Wwp1"
"322","Kif2a"
"323","Abtb2"
"324","Atg4b"
"325","Snx9"
"326","Ovol2"
"327","Puf60"
"328","Mcm8"
"329","Phf8"
"330","Usp1"
"331","Smyd2"
"332","Ndnl2"
"333","Tex12"
"334","Meikin"
"335","Naca"
"336","Ccnh"
"337","Tet2"
"338","Trim13"
"339","Mre11a"
"340","Klhl28"
"341","Ago3"
"342","Chmp3"
"343","Capn13"
"344","Cep164"
"345","Gm4858"
"346","Kbtbd11"
"347","Cts6"
"348","Sbds"
"349","Actr2"
"350","Bace2"
"351","Klhl10"
"352","Bcl10"
"353","Rnf220"
"354","Zyg11a"
"355","Nrd1"
"356","Tnpo1"
"357","Ube2j2"
"358","Mrpl41"
"359","Rhbdd3"
"360","Ipo8"
"361","Trappc12"
"362","Pogz"
"363","Nudt15"
"364","Ube2w"
"365","Usp47"
"366","Ankrd1"
"367","Tmprss12"
"368","Klhl40"
"369","Pycard"
"370","Smc1b"
"371","Ipo13"
"372","Cited2"
"373","Msh2"
"374","Msh3"
"375","Msh5"
"376","Msh6"
"377","Mei4"
"378","Sik1"
"379","Rdx"
"380","Trim35"
"381","Pmpca"
"382","Thoc5"
"383","Nox4"
"384","Thop1"
"385","Tdpoz1"
"386","E2f6"
"387","Gpx1"
"388","Rhbdl2"
"389","Lonp2"
"390","Rnf128"
"391","Wwp2"
"392","Cdk15"
"393","Proz"
"394","Ube4a"
"395","Lats2"
"396","Map4"
"397","Tmprss2"
"398","Hic1"
"399","Chordc1"
"400","Myocd"
"401","Dsn1"
"402","Shisa5"
"403","Sesn2"
"404","Trim59"
"405","Fbxw7"
"406","Cdk5rap1"
"407","Cblc"
"408","Nuf2"
"409","Zfp830"
"410","Obox4"
"411","Meiob"
"412","Cdk5rap2"
"413","Cdk9"
"414","Pmaip1"
"415","Cdc25b"
"416","Mlxipl"
"417","Usp34"
"418","Uqcrc2"
"419","Hecw2"
"420","Hist1h1t"
"421","Oma1"
"422","Rad51"
"423","Bre"
"424","Ece1"
"425","Rnf121"
"426","Myc"
"427","Gadd45b"
"428","Ddb2"
"429","Rad51b"
"430","2610002M06Rik"
"431","Myf5"
"432","Myf6"
"433","Spin1"
"434","Crocc"
"435","Cdc20"
"436","Tmprss3"
"437","Myh9"
